Aagaardia protensa
Aagaardia sivertseni;Eukiefferiella sivertseni
Ablaxia anaxenor;Pteromalus anaxenor
Ablaxia crassicornis;Etroxys crassicornis
Ablaxia megachlora;Pteromalus megachlora
Ablaxia parviclava;Etroxys parviclava
Ablaxia planiscuta;Etroxys planiscuta
Ablaxia robusta
Ablaxia squamifera;Etroxys squamifera
Ablaxia temporalis
Ablechroiulus acartus;Rhabditis acartus
Ablechroiulus ciliatus;Rhabditis ciliatus
Ablechroiulus crenatus;Rhabditis crenatus
Ablechroiulus cristatus;Rhabditis cristatus
Ablechroiulus gongyloides;Rhabditis gongyloides
Ablechroiulus lacustris
Ablechroiulus paraciliatus;Rhabditis paraciliatus
Ablechroiulus stercorarius
Ablepharus budaki
Ablepharus kitaibelii;Ablepharis Kitaibelii;Ablepharus kitaibeli;Ablepharus pannonicus kitaibelii;Ablepharus kitaibelii kitaibelii;Ablepharus kitaibelii stepaneki;Ablepharus kitaibelii fabichi;Ablepharus pannonicus fabichii;Ablepharus kitaibelii fitzingeri;Ablepharus pannonicus
Ablepton jugatum
Ablepton treforti
Ablepton tumanense
Ablerus atomon;Encyrtus atomon
Ablerus celsus;Pteroptrix celsus;Ablerus brittanicus
Ablerus chionaspidis;Azotus chionaspidis;Ablerus greatheadi;Ablerus qadrii
Ablerus chrysomphali;Azotus chrysomphali
Ablerus clisiocampae;Centrodora clisiocampae
Ablerus marchali;Azotus marchali
Ablerus matritensis;Azotus matritensis
Ablerus mokrzeckii;Azotus mokrzeckii
Ablerus perspeciosus;Ablerus bimaculatus;Ablerus kashmirensis
Ablerus pinifoliae;Azotus pinifoliae
Ablerus pulcherrimus;Azotus pulcherrimus
Abludomelita aculeata;Abludomelita oxyura;Melita aculeata
Abludomelita gladiosa;Melita gladiosa
Abludomelita obtusata;Cancer obtusatus;Cancer (Gammarus) obtusatus;Gammarus obtusatus;Melita obtusata
Abomalus masoni
Aboriginesia danieli;Neotrombicula danieli
Aboriginesia monticola;Neotrombicula monticola
Aboriginesia talpae;Neotrombicula talpae
Aboriginesia theodori;Hoffmannina theodori
Aboriginesia variabilis;Heaslipia variabilis
Aboriginesia vercammengrandjeani;Neotrombicula vercammengrandjeani
Aborolabis cerrobarjai
Aborolabis mauritanica;Forficesila mauritanica
Aborolabis mordax
Abothrium gadi;Abothrium morrhuae;Bothriocephalus callariae;Bothriocephalus ellipticus;Bothriocephalus gadi;Bothriocephalus gadi barbatulae;Bothriocephalus gadi callariae;Bothriocephalus gadi merluccii;Bothriocephalus gadi morrhuae;Bothriocephalus gadi redianus;Bothriocephalus lanceolatus
Abra alba;Abra renieri;Amphidesma boysiana;Erycina renierii;Erycina tumida;Mactra alba;Mactra boysii;Scrobicularia alba;Scrobicularia alba var. oblonga;Syndesmya alba;Syndesmya alba var. apesa;Syndesmya alba var. curta;Syndosmya alba;Syndosmya alba var. major;Syndosmya apelina;Syndosmya occitanica;Tellina apelina;Tellina pellucida;Tellina semidentata
Abra longicallus;Abra longicallis;Abra longicallis var. americana;Abra longicallus americana;Erycina longicallis;Ligula profundissima;Syndosmya tellinella;Tellina longicallus
Abra nitida;Abra intermedia;Amphidesma intermedia;Mya nitida;Scrobicularia tenuis;Semele nitida;Semele (Syndosmya) nitida;Syndosmya nitida;Semele (Syndosmya) nitida var. panormensis;Semele (Syndosmya) nitida var. sindima;Semele (Syndosmya) nitida var. turgilla;Syndosmya philippinana
Abra prismatica;Abra fragilis;Abra milaschevichi;Erycina aradae;Ligula prismatica;Psammotaea striata;Syndesmya fragilis
Abra profundorum;Abra profundorum japonicum;Semele profundorum;Semele (Abra) profundorum
Abra segmentum;Abra ovata;Abra segmentina;Amphidesma lactea;Erycina ovata;Scrobicularia fabula;Syndesmya ovata;Syndosmya cailliaudi;Syndosmya segmentum;Syndosmya segmentum var. brevis;Syndosmya segmentum var. incrassata;Syndosmya segmentum var. subrostrata
Abra tenuis;Abra tenuis lorenzoi;Amphidesma nucleolata;Erycina bielzi;Erycina trigona;Mactra tenuis;Syndesmya nucleolata;Syndosmya radiata
Abrachyglossum capitatum;Conops capitatum;Conops capitatus;Spixosoma aureifasciata
Abraeomorphus minutissimus;Abraeus minutissimus;Abraeus zoppae
Abraeus globosus
Abraeus granulum
Abraeus parvulus
Abraeus perpusillus;Hister perpusillus;Abraeus brevissimus;Hister globosus
Abraeus roubali
Abralia veranyi;Enoploteuthis veranyi;Enoploion eustictum;Abralia (Asteroteuthis) veranyi;Asteroteuthis veranyi;Enoploteuthis owenii
Abramis brama;Cyprinus brama;Abramis melaenus;Abramis media;Abramis gehini;Abramis vulgaris;Abramis microlepidotus;Abramis argyreus;Abramis vetula;Abramis brama bergi;Abramis brama danubii;Abramis brama orientalis;Abramis brama sinegorensis
Abraxas grossulariata;Phalaena grossulariata
Abraxas pantaria
Abraxas sylvata;Abraxas leopardina
Abrepagoge treitschkeana;Tortrix treitschkeana
Abrochtha intermedia;Philodina intermedia
Abrolophus aequalipes;Balaustium aequalipes
Abrolophus anomalus;Balaustium anomalus
Abrolophus artemisiae;Acarus artemisiae
Abrolophus baderi;Balaustium longipes
Abrolophus basiliense;Balaustium basiliense
Abrolophus brevipalpus;Balaustium brevipalpus
Abrolophus complanatus;Acarus complanatus
Abrolophus crassitarsus;Balaustium crassitarsus
Abrolophus curtipapillus;Balaustium curtipapillus
Abrolophus densipapillus;Balaustium densipapillus
Abrolophus engadinense;Balaustium engadinense
Abrolophus epigaeus;Leptus epigaeus
Abrolophus evansi;Balaustium evansi
Abrolophus handschini;Balaustium handschini
Abrolophus insulare;Balaustium insulare
Abrolophus jurassicus;Balaustium jurassicus
Abrolophus laevicristatus;Balaustium laevicristatus
Abrolophus lapidarius;Balaustium lapidarius
Abrolophus longipapillus;Balaustium longipapillus
Abrolophus longipes;Balaustium longipes
Abrolophus longulus;Balaustium longulus
Abrolophus longus;Balaustium longus
Abrolophus miniatus;Trombidium miniatus
Abrolophus norvegicus;Rhyncholophus norvegicus;Abrolophus neobrevicollis
Abrolophus passerinii;Erythraeus passerinii
Abrolophus perifi;Balaustium perifi
Abrolophus perlongus;Balaustium perlongus
Abrolophus pulcher;Rhyncholophus pulcher
Abrolophus quadrisetus;Balaustium quadrisetus
Abrolophus quinquesetus;Balaustium quinquesetus
Abrolophus quisquiliarus;Trombidium quisquiliarus
Abrolophus raripapillus;Balaustium raripapillus
Abrolophus rhopalicus;Rhyncholophus rhopalicus
Abrolophus rubipes;Rhyncholophus rubipes
Abrolophus sabulosus;Rhyncholophus sabulosus
Abrolophus schweizeri;Balaustium schweizeri
Abrolophus strojnyi
Abrolophus subquisquilliarus;Balaustium subquisquilliarus
Abrolophus tardus;Rhyncholophus tardus
Abrolophus trisetus;Balaustium trisetus
Abrolophus unisetus;Balaustium unisetus
Abromus abeillei
Abromus algarvensis
Abromus brucki
Abromus coiffaiti
Abromus comellinii
Abromus convexus
Abromus elongatus
Abromus franzi
Abromus hervei
Abromus insularis
Abromus lusitanicus
Abromus lusoensis
Abromus minhoensis
Abromus palaui
Abromus sintrensis
Abromus zariquieyi
Abronia deppii;Gerrhonotus deppii
Abrostola agnorista
Abrostola asclepiadis;Noctua asclepiadis
Abrostola clarissa;Plusia clarissa
Abrostola tripartita;Phalaena tripartita
Abrostola triplasia;Phalaena triplasia;Phalaena trigemina
Absolonia gigantea;Aphorura gigantea
Absoloniella cylindrica
Absoloniella reitteri;Caulomorphus reitteri
Absyrtus vernalis
Absyrtus vicinator;Ichneumon vicinator
Absyrtus vicinus
Abudefduf saxatilis;Abudefduf ascensionis;Sparus fasciatus;Chaetodon marginatus;Chaetodon mauritii;Glyphisodon moucharra;Apogon quinquevittatus;Glyphisodon rahti;Chaetodon sargoides;Chaetodon saxatilis;Glyphisodon biniar;Abudefduf sexatilis;Abudefduf marginatus;Glyphidodon saxatilis;Abudefduf saxiatilis;Glyphisodon saxatilis
Abudefduf septemfasciatus;Abudefduf multifasciatus;Abudefduf paee;Chaetodon rotundus;Glyphisodon septemfasciatus
Abudefduf sexfasciatus;Glyphisodon coelestinus;Labrus sexfasciatus;Abudefduf coelestinus;Glyphidodon caelestinus
Abudefduf sordidus;Chaetodon sordidus;Glyphidodon adenensis;Glyphisodon gigas;Glyphisodon geant;Glyphidodon leucopleura;Abudefduf tridentatus;Glyphisodon géant;Glyphisodon sordidus
Abudefduf sparoides;Glyphisodon sparoides;Pomacentrus zanzibarensis;Glyphidodon sparoides
Abudefduf troschelii;Glyphidodon troschelii
Abudefduf vaigiensis;Abudefduf caudobimaculatus;Glyphisodon quadrifasciatus;Abudefduf quinquilineatus;Chaetodon tyrwhitti;Glyphisodon vaigiensis;Abudefdus vaigiensis;Glyphisodon rahti;Abudefduf quinquelineatus;Abudefduf vaigensis;Abudefduf vargensis
Abyla trigona;Abyla carina;Abyla peruana;Abyla schmidti;Amphiroa carina;Eudoxia trigonae;Pseudabyla dubia;Pseudabyla irregularis
Abylopsis tetragona;Abyla Huxleyi;Aglaisma baerii;Aglaisma cuboides;Aglaisma gegenbauri;Aglaisma pentagonum;Aglaismoides elongata;Aglaja Baerii;Calpe pentagona;Eudoxia cuboides;Eudoxia pyramis;Plethosoma crystaloides;Pseudabylopsis anomala;Pyramis tetragona
Abyssascidia millari
Abyssidrilus cuspis;Phallodrilus cuspis
Abyssidrilus profundus;Phallodrilus profundus
Abyssidrilus subterraneus;Phallodrilus subterraneus
Abyssochrysos melvilli;Abyssochrysos tomlini;Argyropeza melvilli;Argyropeza suvaensis
Abyssocucumis abyssorum;Abyssocucumis ingolfi;Cucumaria sluiteri;Cucumaria abyssorum;Staurocucumis abyssorum;Cucumaria abyssorum var. grandis;Cucumaria abyssorum var. hyalina;Staurocucumis ingolfi
Abyssoninoe abyssorum;Lumbriconereis abyssorum;Lumbrineris abyssorum
Abyssoninoe hibernica;Abyssoninoe scopa aequilobata;Lumbriconereis hibernica;Lumbrineris hibernica;Lumbrineris scopa aequilobata
Abyssoninoe scopa;Abyssinoe scopa;Lumbrineris pseudofragilis;Lumbrineris pseudo-fragilis;Lumbrineris scopa;Lumbrineris scopa scopa
Abyssorchomene abyssorum;Orchomene abyssorum
Abyssorchomene chevreuxi;Orchomene excavata;Orchomenopsis chevreuxi
Acaenitus dubitator;Ichneumon dubitator
Acaenomolgus protulae;Lichomolgus protulae
Acaenomolgus serpulae;Lichomolgus serpulae
Acaeroplastes barretoi;Atlantidium barretoi
Acaeroplastes delattini
Acaeroplastes ischianus
Acaeroplastes kosswigi
Acaeroplastes mateui;Acaeroplastes argentarius
Acaeroplastes melanurus;Metoponorthus melanurus
Acaeroplastes secundum
Acaerus turkestanicus;Rhinocola turkestanicus
Acalitus brevitarsus;Phytoptus brevitarsus
Acalitus calycophthirus;Phytoptus calycophthirus
Acalitus cotoneastri;Eriophyes cotoneastri
Acalitus essigi;Eriophyes essigi
Acalitus longisetosus;Phytoptus longisetosus
Acalitus notolius;Eriophyes notolius
Acalitus orthomerus;Aceria orthomerus
Acalitus phloeocoptes;Phytoptus phloeocoptes;Cecydoptes pruni
Acalitus phyllereus;Eriophyes phyllereus
Acalitus plicans;Eriophyes plicans
Acalitus prunispinosae;Eriophyes prunispinosae
Acalitus rudis;Phytoptus rudis
Acalitus stenaspis;Phytoptus stenaspis;Eriophyes blastophthirus
Acalles acutus
Acalles aeonii
Acalles aeonisimilis
Acalles albolineatus
Acalles alcarazensis
Acalles alluaudi;Acalles haraldi
Acalles almeriaensis
Acalles anagaensis
Acalles argillosus
Acalles aubei
Acalles bazaensis
Acalles biokovoensis
Acalles bodegensis
Acalles breiti
Acalles brevitarsis
Acalles camelus;Curculio camelus;Acalles quercus;Acalles sophiae;Acalles variolosus
Acalles cazorlaensis
Acalles cedroensis
Acalles cinereus
Acalles coarctatus
Acalles cytisi
Acalles dieckmanni
Acalles dispar
Acalles droueti
Acalles dubius
Acalles echinatus;Cryptorhynchus echinatus;Acalles squamosus
Acalles edoughensis;Acalles hederae
Acalles euphorbiacus
Acalles fallax;Acalles commutatus
Acalles festivus
Acalles fortunatus
Acalles gadorensis
Acalles ganglbaueri
Acalles globulipennis;Acalles seminulum
Acalles grancanariensis
Acalles guadarramaensis
Acalles hakani
Acalles histrionicus
Acalles humerosus
Acalles instabilis
Acalles kippenbergi
Acalles lanzarotensis
Acalles lemur;Cryptorhynchus lemur;Acalles sulcatus
Acalles lepidus
Acalles longus
Acalles lunulatus
Acalles machadoi
Acalles maraoensis
Acalles micros
Acalles misellus;Acalles variegatus
Acalles monasterialis
Acalles muelleri
Acalles mundus
Acalles navieresi
Acalles neptunus
Acalles nodiferus
Acalles nubilosus
Acalles oblitus
Acalles olcesei
Acalles ornatus
Acalles ovalipennis
Acalles papei;Acalles balcanicus;Acalles vicarius
Acalles parvulus;Acalles nudiusculus;Acalles turbatus
Acalles pedestris
Acalles petryszaki
Acalles pilula
Acalles poneli
Acalles portosantoensis
Acalles ptinoides;Curculio ptinoides;Acalles nocturnus
Acalles pulchellus
Acalles pulverosus;Acalles pulverulentus
Acalles ruteri
Acalles sardiniaensis
Acalles sarothamni
Acalles saxicola
Acalles senilis
Acalles setulipennis
Acalles sierrae
Acalles sigma
Acalles silosensis
Acalles sintraniensis
Acalles sonchi
Acalles syriacus
Acalles temperei
Acalles terminalis
Acalles tibialis;Trachodius tibialis
Acalles tolpis
Acalles tristaensis
Acalles vau
Acalles xerampelinus
Acallocrates colonnellii
Acallocrates denticollis;Cryptorhynchus denticollis
Acallocrates fasciatus
Acallocrates minutesquamosus;Acalles minutesquamosus;Acalles discors
Acallorneuma doderoi
Acallorneuma gasparoi
Acallorneuma ibericum
Acallorneuma ingoi
Acallorneuma mainardii
Acallorneuma montisalbi
Acallorneuma poggii
Acallorneuma reitteri
Acallorneuma sabellai
Acallorneuma sardiniense;Acallorneuma sardiniensis
Acalypta acutangula;Orthostira acutangula
Acalypta brunnea;Tingis brunnea;Orthostira concinna
Acalypta carinata;Tingis carinata;Acalypta carpathica;Acalypta cervina var. angustula;Acalypta sibirica;Monanthia cervina;Monanthia fracta;Orthostira sordida;Tingis cassidea
Acalypta elegans;Acalypta nyctalis
Acalypta finitima;Orthostira finitima;Acalypta hoberlandti;Orthostira samara
Acalypta gracilis;Orthosteira gracilis
Acalypta hellenica
Acalypta heteropepla
Acalypta irregularis
Acalypta marginata;Acanthia marginata;Orthosteira acutispinis;Orthosteira macrophtalma;Orthostira cylindricornis
Acalypta musci;Cimex musci;Acalypta montana;Acalypta musci f. triseriata;Orthostira musci var. ditata
Acalypta nigrina;Tingis nigrina;Orthosteira cinerea;Tingis pusilla
Acalypta nigrinervis
Acalypta parvula;Tingis parvula;Orthostira parvula;Monanthia parvula;Campylosteira parvula;Acalypta barberi;Acalypta mera;Campylostira parvula var. fuscicornis;Monanthia obscura;Orthostira parvula var. macroptera;Orthostira parvula var. major;Orthostira parvula var. minor;Orthostira parvula var. pallescens
Acalypta platycheila;Orthosteira platycheila;Monanthia intermedia;Orthostira elinoides
Acalypta pulchra
Acalypta suturalis;Orthostira suturalis
Acalypta uniseriata;Orthostira uniseriata;Acalypta anatolica
Acalypta visolensis
Acalyptonotus violaceus
Acalyptris lesbia
Acalyptris limonii
Acalyptris loranthella;Nepticula loranthella
Acalyptris maritima
Acalyptris minimella;Trifurcula minimella
Acalyptris pistaciae
Acalyptris platani;Weberia platani
Acalyptris pyrenaica
Acalyptris shafirkanus
Acalyptris staticis;Stigmella staticis
Acalyptus carpini;Curculio carpini;Acalyptus caucasicus;Acalyptus fuscipes;Acalyptus rufipennis;Sibinia alpina
Acalyptus sericeus;Acalyptus salicis
Acampsis alternipes;Sigalphus alternipes
Acamptocladius reissi
Acamptocladius submontanus;Spaniotoma submontanus
Acanalonia conica
Acanella arbuscula;Acanella eburnea;Acanella normani;Acanella spiculosa;Isidella arbuscula;Isidella eburnea;Mopsea arbuscula;Mopsea arbusculum;Mopsea eburnea
Acanopsilus brevinervis
Acanopsilus heterocerus;Belyta heterocerus
Acanosema nervosum;Cinetus nervosum
Acanosema rufum
Acanosema tenuicornis;Psilomma tenuicornis
Acanthaclisis occitanica;Myrmeleon occitanica
Acanthacris ruficornis;Gryllus ruficornis
Acanthaster planci
Acanthatrium sogandaresi
Acanthatrium tatrense
Acanthella acuta
Acanthella annulata
Acanthella mastophora;Axinella mastophora;Bubaris mastophora
Acanthella multiformis;Axinella multiformis
Acanthemblemaria aspera;Acanthemblemaria asper;Paremblemaria aspera;Acanthemblemaria arborescens
Acanthemblemaria spinosa;Acanthemblemaria variegata
Acanthephyra curtirostris
Acanthephyra pelagica;Acanthophyra pelagica;Alpheus pelagicus;Ephyra haeckelii;Acanthephyra rectirostris;Acanthephyra agassizzi;Acanthephyra agassizzi mediterranea;Acanthephyra parva multidens;Acanthephyra purpurea var. multispina;Ephyra pelagica
Acanthephyra purpurea;Miersia agassizii;Acanthephyra abyssorum;Hoplocaricyphus similis;Acanthephyra parva paucidens
Acanthephyra stylorostratis;Bentheocaris stylorostratis;Acanthephyra stylorostratus;Bentheocaris exuens
Acanthephyra tenuipes;Tropiocaris tenuipes;Acanthephyra gracilipes
Acantheurypon pilosella;Eurypon pilosella;Hymeraphia pilosella
Acanthicolepis asperrima;Acanthicolepis cousteaui;Dasylepis asperrima;Polynoe asperrima
Acanthinozodium parysatis
Acanthinula aculeata;Helix aculeata;Helix spinulosa;Missing albina;Missing granatelli
Acanthinula azorica
Acanthinula spinifera;Patula spinifera
Acanthiophilus helianthi;Musca helianthi;Acanthiophilus helianthe;Trypeta eluta
Acanthiophilus walkeri;Tetanocera walkeri
Acanthis cabaret
Acanthis flammea;Carduelis flammea
Acanthis hornemanni;Carduelis hornemanni
Acanthobdella peledina
Acanthobodilus crimensis;Aphodius crimensis
Acanthobodilus immundus;Aphodius immundus;Aphodius arvernicus
Acanthobothrium benedeni
Acanthobothrium crassicolle
Acanthobothrium dujardinii;Prosthecobothrium dujardinii
Acanthobothrium filicolle;Calliobothrium filicolle
Acanthobothrium musculosum;Acrobothrium musculosum
Acanthobothrium ponticum
Acanthobothrium quadripartitum
Acanthobothrium rajaebatis;Taenia rajaebatis
Acanthobothrium tripartitum
Acanthobothrium zschokkei
Acanthobrahmaea europaea
Acanthobruchidius spiniger;Mylabris spiniger
Acanthocardia aculeata;Cardium aculeata;Cardium aculcatum;Cardium aculeatum;Cardium aculeatum var. depressa;Cardium spinosum
Acanthocardia deshayesii;Cardium deshayesii
Acanthocardia echinata
Acanthocardia paucicostata;Acanthocardia ciliaris;Acanthocardia (Sphaerocardium) ciliaris;Sphaerocardium ciliaris;Acanthocardia (Sphaerocardium) ciliaris milaschewitschi;Cardium aculeatum var. perrugosa;Cardium laticostatum;Cardium paucicostatum;Cardium paucicostatum var. alba;Cardium paucicostatum var. impedita;Cardium paucicostatum var. pallida;Cardium paucicostatum var. producta;Cardium paucicostatum var. rotundicosta
Acanthocardia spinosa;Cardium echinatum;Cardium erinaceum;Cardium erinaceum var. alba;Cardium erinaceus;Cardium spinosum
Acanthocarpus brevispinis;Acanthocarpus africanus;Acanthocarpus bispinosus var. brevispinis
Acanthocephaloides distinctus
Acanthocephaloides geneticus
Acanthocephaloides propinquus;Echinorhynchus propinquus;Acanthocephaloides propinguus;Echinorhynchus propinguus;Echinorhynchus fabri;Echinorhynchus pumilio;Echinorhynchus kostylevi
Acanthocephalus anguillae;Echinorhynchus anguillae;Echinorhynchus globulosus;Echinorhynchus linstowi;Echinorhynchus proteus;Acanthocephalus paronai;Echinorhynchus paronai;Acanthocephalus lavareti;Echinorhynchus globosus
Acanthocephalus anthuris;Echinorhynchus anthuris
Acanthocephalus balkanicus
Acanthocephalus clavula;Echinorhynchus clavula;Pseudoechinorhynchus clavula
Acanthocephalus curtus;Paracanthocephalus curtus;Acanthocephalus amurensis;Acanthocephalus amuriensis
Acanthocephalus falcatus;Echinorhynchus falcatus
Acanthocephalus gracilicanthus
Acanthocephalus haranti
Acanthocephalus lucii;Echinorhynchus lucii;Echinorhynchus angustus;Echinorhynchus angustatus;Echinorhynchus blennii
Acanthocephalus ranae;Echinorhynchus ranae;Echinorhynchus haeruca
Acanthocephalus tenuirostris;Paracanthocephalus tenuirostris
Acanthochaenus luetkenii;Acanthochaenus lutkenii;Stephanoberyx gillii;Acanthochaenus lutkeni
Acanthocheilonema dracunculoides
Acanthocheilonema reconditum;Filaria reconditum
Acanthocheilonema spirocauda;Filaria spirocauda;Dipetalonema spirocauda
Acanthocheilus rotundatus;Acanthocheilus australis;Acanthocheilus bicuspis;Acanthocheilus quadridentatus;Anacanthocheilus australis;Metanisakis rotundatum;Pseudanisakis australis
Acanthochermes quercus
Acanthochitona crinita;Acanthochitona crinitus;Acanthochaetes vulgaris;Acanthochites adansoni;Acanthochites aeneus;Acanthochites carinatus;Acanthochites fascicularis var. cinnabrina;Acanthochites fascicularis var. fusca;Acanthochites fascicularis var. lutescens;Acanthochiton adansoni;Acanthochiton hispidus;Acanthochitona crinita crinita;Acanthochitona gracilis;Chiton crinitus;Chiton fascicularis var. attenuata;Chiton fascicularis var. minor;Chiton onyx
Acanthochitona discrepans;Acanthochites aeneus;Acanthochites discrepans;Acanthochiton discrepans;Acanthochiton (Acanthochites) discrepans;Acanthochiton (Acanthochites) discrepans var. viridis;Anisochiton discrepans;Anisochiton discrepans var. albina;Chiton discrepans;Chiton gracilis
